,article_id,sentence_no
0,184380,0
1,184380,1
2,184380,2
3,184380,3
4,184380,4
5,184380,5
6,184380,6
7,184380,7
8,184380,8
9,184380,9
10,184380,10
11,184380,11
12,184380,12
13,184380,13
14,184380,14
15,202612,15
16,202612,16
17,202612,17
18,202612,18
19,202612,19
20,202612,20
21,202612,21
22,202612,22
23,202614,23
24,202614,24
25,202614,25
26,202614,26
27,202614,27
28,202614,28
29,202614,29
30,202614,30
31,202614,31
32,281102,32
33,281102,33
34,281102,34
35,281102,35
36,281102,36
37,281102,37
38,281102,38
39,281102,39
40,281102,40
41,281102,41
42,281102,42
43,281102,43
44,281102,44
45,281102,45
46,281102,46
47,281102,47
48,281102,48
49,281102,49
50,296135,50
51,296135,51
52,296135,52
53,296135,53
54,296135,54
55,296135,55
56,296135,56
57,296135,57
58,296135,58
59,296135,59
60,296135,60
61,296135,61
62,296151,62
63,296151,63
64,296151,64
65,296151,65
66,296151,66
67,296151,67
68,296151,68
69,296151,69
70,296151,70
71,296151,71
72,296151,72
73,304720,73
74,304720,74
75,304720,75
76,304720,76
77,304720,77
78,304720,78
79,304720,79
80,304720,80
81,304720,81
82,304720,82
83,304720,83
84,304720,84
85,304720,85
