,article_id,sentence_no
0,2941,0
1,2941,1
2,2941,2
3,2941,3
4,2941,4
5,2941,5
6,2941,6
7,2941,7
8,2941,8
9,2941,9
10,2941,10
11,2941,11
12,2946,12
13,2946,13
14,2946,14
15,2946,15
16,2946,16
17,2946,17
18,2946,18
19,2946,19
20,2946,20
21,25717,21
22,25717,22
23,25717,23
24,25717,24
25,25717,25
26,25717,26
27,25717,27
28,25717,28
29,25717,29
30,25717,30
31,25717,31
32,25718,32
33,25718,33
34,25718,34
35,25718,35
36,25718,36
37,25718,37
38,25718,38
39,25718,39
40,25740,40
41,25740,41
42,25740,42
43,25740,43
44,25740,44
45,25740,45
46,25779,46
47,25779,47
48,25779,48
49,25779,49
50,25779,50
51,25779,51
52,25779,52
53,25779,53
54,25779,54
55,25785,55
56,25785,56
57,25785,57
58,25785,58
59,25785,59
60,25785,60
61,25785,61
62,25785,62
63,25785,63
64,25822,64
65,25822,65
66,25822,66
67,25822,67
68,25822,68
69,25822,69
70,25844,70
71,25844,71
72,25844,72
73,25844,73
74,25844,74
75,25844,75
76,25844,76
77,25882,77
78,25882,78
79,25882,79
80,25882,80
81,25882,81
82,25882,82
83,25882,83
84,25882,84
85,25882,85
86,25891,86
87,25891,87
88,25891,88
89,25891,89
90,25891,90
91,25891,91
92,25891,92
93,25891,93
94,25891,94
95,25891,95
96,25900,96
97,25900,97
98,25900,98
99,25900,99
100,25900,100
101,25900,101
102,25900,102
103,25934,103
104,25934,104
105,25934,105
106,25934,106
107,25934,107
108,25934,108
109,25934,109
110,25936,110
111,25936,111
112,25936,112
113,25936,113
114,25936,114
115,25936,115
116,25936,116
117,25936,117
118,25936,118
119,25950,119
120,25950,120
121,25950,121
122,25950,122
123,25950,123
124,25950,124
125,25950,125
126,25950,126
127,25950,127
128,25950,128
129,25957,129
130,25957,130
131,25957,131
132,25957,132
133,25957,133
134,25957,134
135,25957,135
136,25967,136
137,25967,137
138,25967,138
139,25967,139
140,25976,140
141,25976,141
142,25976,142
143,25976,143
144,25976,144
145,25976,145
146,25976,146
147,25976,147
148,25979,148
