,article_id,sentence_no
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,2,22
23,2,23
24,2,24
25,2,25
26,2,26
27,2,27
28,2,28
29,2,29
30,2,30
31,2,31
32,2,32
33,2,33
34,2,34
35,2,35
36,2,36
37,3,37
38,3,38
39,3,39
40,3,40
41,3,41
42,3,42
43,3,43
44,3,44
45,3,45
46,3,46
47,3,47
48,3,48
49,3,49
50,3,50
51,3,51
52,3,52
53,5,53
54,5,54
55,5,55
56,5,56
57,5,57
58,5,58
59,5,59
60,5,60
61,5,61
62,5,62
63,6,63
64,6,64
65,6,65
66,6,66
67,6,67
68,6,68
69,6,69
70,6,70
71,6,71
72,6,72
73,6,73
74,6,74
75,6,75
76,6,76
77,6,77
78,7,78
79,7,79
80,7,80
81,7,81
82,7,82
83,7,83
84,7,84
85,7,85
86,7,86
87,7,87
88,7,88
89,7,89
90,7,90
91,7,91
92,7,92
93,7,93
94,7,94
95,8,95
96,8,96
97,8,97
98,8,98
99,8,99
100,8,100
101,8,101
102,8,102
103,8,103
104,8,104
105,8,105
106,8,106
107,8,107
108,8,108
109,8,109
110,8,110
111,8,111
112,8,112
113,8,113
114,247,114
115,247,115
116,247,116
117,247,117
118,247,118
119,247,119
120,247,120
121,247,121
122,247,122
123,247,123
124,247,124
125,247,125
126,247,126
127,247,127
128,247,128
129,248,129
130,248,130
131,248,131
132,248,132
133,248,133
134,248,134
135,248,135
136,248,136
137,248,137
138,248,138
139,248,139
140,248,140
141,248,141
142,248,142
143,248,143
144,248,144
145,248,145
146,248,146
147,248,147
148,248,148
149,248,149
150,248,150
151,248,151
152,248,152
153,248,153
154,251,154
155,251,155
156,251,156
157,251,157
158,251,158
159,251,159
160,251,160
161,251,161
162,251,162
163,251,163
164,251,164
165,251,165
166,251,166
167,251,167
168,251,168
169,252,169
170,252,170
171,252,171
172,252,172
173,252,173
174,252,174
175,252,175
176,252,176
177,252,177
178,252,178
179,252,179
180,252,180
181,252,181
182,252,182
183,252,183
184,252,184
185,252,185
186,252,186
187,252,187
188,252,188
189,253,189
190,253,190
191,253,191
192,253,192
193,253,193
194,253,194
195,253,195
196,253,196
197,253,197
198,253,198
199,253,199
200,253,200
201,253,201
202,253,202
203,254,203
204,254,204
205,254,205
206,254,206
207,254,207
208,254,208
209,254,209
210,254,210
211,254,211
212,254,212
213,254,213
214,254,214
215,254,215
216,254,216
217,254,217
218,254,218
219,254,219
220,254,220
221,257,221
222,257,222
223,257,223
224,257,224
225,257,225
226,257,226
227,257,227
228,257,228
229,257,229
230,258,230
231,258,231
232,258,232
233,258,233
234,258,234
235,258,235
236,258,236
237,258,237
238,258,238
239,261,239
240,261,240
241,261,241
242,261,242
243,261,243
244,261,244
245,261,245
246,261,246
247,262,247
248,262,248
249,262,249
250,262,250
251,262,251
252,262,252
253,262,253
254,262,254
255,262,255
256,262,256
257,262,257
258,262,258
259,262,259
260,262,260
261,262,261
262,262,262
263,262,263
264,262,264
265,262,265
266,262,266
267,262,267
268,262,268
269,262,269
270,262,270
271,262,271
272,262,272
273,264,273
274,264,274
275,264,275
276,264,276
277,264,277
278,264,278
279,264,279
280,264,280
281,264,281
282,264,282
283,264,283
284,264,284
285,264,285
286,264,286
287,264,287
288,264,288
289,264,289
290,264,290
291,264,291
292,264,292
293,264,293
294,264,294
295,264,295
296,264,296
297,541,297
298,541,298
299,541,299
300,541,300
301,541,301
302,541,302
303,541,303
304,541,304
305,541,305
306,541,306
307,541,307
